ccdc_id,mc-chi-0-all,mc-chi-1-all,mc-chi-2-all,mc-chi-3-all,mc-Z-0-all,mc-Z-1-all,mc-Z-2-all,mc-Z-3-all,mc-I-2-all,mc-I-3-all,mc-T-1-all,mc-T-2-all,mc-T-3-all,mc-S-0-all,mc-S-1-all,mc-S-2-all,mc-S-3-all,f-chi-0-all,f-chi-1-all,f-chi-2-all,f-chi-3-all,f-Z-0-all,f-Z-1-all,f-Z-2-all,f-Z-3-all,f-I-0-all,f-I-1-all,f-I-2-all,f-I-3-all,f-T-0-all,f-T-1-all,f-T-2-all,f-T-3-all,f-S-0-all,f-S-1-all,f-S-2-all,f-S-3-all,D_mc-chi-1-all,D_mc-chi-2-all,D_mc-chi-3-all,D_mc-Z-1-all,D_mc-Z-2-all,D_mc-Z-3-all,D_mc-T-1-all,D_mc-T-2-all,D_mc-T-3-all,D_mc-S-1-all,D_mc-S-2-all,D_mc-S-3-all,ion_1,ion_2,ion_3,ion_4,ion_5,ion_6,ion_7,ion_8,ion_9,ion_10,ion_11,ion_12,ion_13,ion_14,ion_15,ion_16,ion_17,ion_18,ion_19,ion_20,ion_21,ion_22,ion_23,ion_24,ion_25,ion_26,ion_27,ion_28,ion_29,ion_30,ion_31,solv_1,solv_2,solv_3,solv_4,solv_5,solv_6,solv_7,solv_8,solv_9,solv_10,solv_11,solv_12,solv_13,solv_14,solv_15,solv_16,solv_17,solv_18,solv_19,solv_20,solv_21
ABISOV,3.3489,33.3792,51.3315,73.6758,676.0,1092.0,1716.0,2002.0,11.0,17.0,102.0,204.0,174.0,1.5625,5.625,10.5875,12.4875,289.2813,660.6534,1283.7858,1919.3736,2220.0,4788.0,8110.0,10574.0,47.0,104.0,194.0,300.0,298.0,840.0,1524.0,2016.0,21.3405,55.14,97.5154,141.1908,-7.26,-7.92,-9.15,114.0,220.0,365.0,19.0,32.0,73.0,3.0,5.28,11.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ABISOV02,3.3489,33.3792,51.3315,73.6758,676.0,1092.0,1716.0,2002.0,11.0,17.0,102.0,204.0,174.0,1.5625,5.625,10.5875,12.4875,289.2813,660.6534,1283.7858,1919.3736,2220.0,4788.0,8110.0,10574.0,47.0,104.0,194.0,300.0,298.0,840.0,1524.0,2016.0,21.3405,55.14,97.5154,141.1908,-7.26,-7.92,-9.15,114.0,220.0,365.0,19.0,32.0,73.0,3.0,5.28,11.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ABITEM,3.3489,33.3792,51.3315,73.6758,676.0,1092.0,1716.0,2002.0,11.0,17.0,102.0,204.0,174.0,1.5625,5.625,10.5875,12.4875,289.2813,660.6534,1283.7858,1919.3736,2220.0,4788.0,8110.0,10574.0,47.0,104.0,194.0,300.0,298.0,840.0,1524.0,2016.0,21.3405,55.14,97.5154,141.1908,-7.26,-7.92,-9.15,114.0,220.0,365.0,19.0,32.0,73.0,3.0,5.28,11.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ABITEM01,3.3489,33.3792,51.3315,73.6758,676.0,1092.0,1716.0,2002.0,11.0,17.0,102.0,204.0,174.0,1.5625,5.625,10.5875,12.4875,289.2813,660.6534,1283.7858,1919.3736,2220.0,4788.0,8110.0,10574.0,47.0,104.0,194.0,300.0,298.0,840.0,1524.0,2016.0,21.3405,55.14,97.5154,141.1908,-7.26,-7.92,-9.15,114.0,220.0,365.0,19.0,32.0,73.0,3.0,5.28,11.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ABITUC,3.3489,33.3792,51.3315,73.6758,676.0,1092.0,1716.0,2002.0,11.0,17.0,102.0,204.0,174.0,1.5625,5.625,10.5875,12.4875,289.2813,660.6534,1283.7858,1919.3736,2220.0,4788.0,8110.0,10574.0,47.0,104.0,194.0,300.0,298.0,840.0,1524.0,2016.0,21.3405,55.14,97.5154,141.1908,-7.26,-7.92,-9.15,114.0,220.0,365.0,19.0,32.0,73.0,3.0,5.28,11.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ABITUC01,3.3489,33.3792,51.3315,73.6758,676.0,1092.0,1716.0,2002.0,11.0,17.0,102.0,204.0,174.0,1.5625,5.625,10.5875,12.4875,289.2813,660.6534,1283.7858,1919.3736,2220.0,4788.0,8110.0,10574.0,47.0,104.0,194.0,300.0,298.0,840.0,1524.0,2016.0,21.3405,55.14,97.5154,141.1908,-7.26,-7.92,-9.15,114.0,220.0,365.0,19.0,32.0,73.0,3.0,5.28,11.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ABIVAK,3.3489,33.3792,51.3315,73.6758,676.0,1092.0,1716.0,2002.0,11.0,17.0,102.0,204.0,174.0,1.5625,5.625,10.5875,12.4875,289.2813,660.6534,1283.7858,1919.3736,2220.0,4788.0,8110.0,10574.0,47.0,104.0,194.0,300.0,298.0,840.0,1524.0,2016.0,21.3405,55.14,97.5154,141.1908,-7.26,-7.92,-9.15,114.0,220.0,365.0,19.0,32.0,73.0,3.0,5.28,11.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABIVAK01,3.3489,33.3792,51.3315,73.6758,676.0,1092.0,1716.0,2002.0,11.0,17.0,102.0,204.0,174.0,1.5625,5.625,10.5875,12.4875,289.2813,660.6534,1283.7858,1919.3736,2220.0,4788.0,8110.0,10574.0,47.0,104.0,194.0,300.0,298.0,840.0,1524.0,2016.0,21.3405,55.14,97.5154,141.1908,-7.26,-7.92,-9.15,114.0,220.0,365.0,19.0,32.0,73.0,3.0,5.28,11.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABIWAK,3.3489,33.3792,55.998,85.5342,676.0,1092.0,1872.0,2184.0,12.0,18.0,108.0,216.0,234.0,1.5625,5.625,11.55,14.175,380.1654,893.481,1669.4622,2159.6946,2188.0,5646.0,9864.0,12456.0,58.0,132.0,240.0,318.0,372.0,1008.0,1746.0,2322.0,25.3258,68.448,120.0744,160.443,-7.26,-8.64,-13.8,114.0,240.0,384.0,18.0,36.0,69.0,3.0,5.76,11.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
ABUFOV,3.3489,33.3792,55.998,78.2508,676.0,1092.0,1872.0,2600.0,12.0,16.0,108.0,216.0,276.0,1.5625,5.625,11.55,15.3,491.3849,1190.1864,2215.5608,3012.6964,2634.0,6960.0,12374.0,16496.0,79.0,184.0,334.0,460.0,518.0,1428.0,2502.0,3328.0,34.7367,95.3032,168.3974,224.9964,-7.26,-8.64,-13.48,114.0,240.0,316.0,18.0,36.0,50.0,3.0,5.76,7.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
ABUGAI,3.3489,33.3792,55.998,78.2508,676.0,1092.0,1872.0,2600.0,12.0,16.0,108.0,216.0,276.0,1.5625,5.625,11.55,15.3,523.7499,1261.0764,2351.3768,3216.2524,2710.0,7152.0,12638.0,16844.0,85.0,196.0,358.0,496.0,554.0,1524.0,2622.0,3460.0,36.4701,99.954,175.843,234.076,-7.26,-8.64,-13.48,114.0,240.0,316.0,18.0,36.0,50.0,3.0,5.76,7.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADIYOB,3.3489,33.3792,59.5848,72.102,676.0,1092.0,1976.0,1976.0,12.0,16.0,108.0,216.0,240.0,1.5625,5.625,11.45,13.4,325.9399,798.7952,1533.7104,2146.8152,1976.0,5288.0,9766.0,11808.0,51.0,120.0,222.0,316.0,342.0,972.0,1782.0,2316.0,22.6955,63.4592,115.9822,154.1444,-7.26,-10.6,-10.12,114.0,236.0,340.0,18.0,36.0,56.0,3.0,5.84,9.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
ADIYUH,3.3489,33.3792,59.5848,72.102,676.0,1092.0,1976.0,1976.0,12.0,16.0,108.0,216.0,240.0,1.5625,5.625,11.45,13.4,325.9399,798.7952,1533.7104,2146.8152,1976.0,5288.0,9766.0,11808.0,51.0,120.0,222.0,316.0,342.0,972.0,1782.0,2316.0,22.6955,63.4592,115.9822,154.1444,-7.26,-10.6,-10.12,114.0,236.0,340.0,18.0,36.0,56.0,3.0,5.84,9.28,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFANEB,3.3489,33.3792,59.5848,74.664,676.0,1092.0,1976.0,2496.0,12.0,16.0,108.0,216.0,312.0,1.5625,5.625,11.45,15.4,390.6699,940.5752,1800.1624,2468.9032,2128.0,5672.0,10454.0,13720.0,63.0,144.0,270.0,364.0,414.0,1140.0,2022.0,2772.0,26.1623,72.7608,130.9694,177.69,-7.26,-10.6,-11.52,114.0,236.0,320.0,18.0,36.0,44.0,3.0,5.84,7.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFANEB02,3.3489,33.3792,59.5848,74.664,676.0,1092.0,1976.0,2496.0,12.0,16.0,108.0,216.0,312.0,1.5625,5.625,11.45,15.4,390.6699,940.5752,1800.1624,2468.9032,2128.0,5672.0,10454.0,13720.0,63.0,144.0,270.0,364.0,414.0,1140.0,2022.0,2772.0,26.1623,72.7608,130.9694,177.69,-7.26,-10.6,-11.52,114.0,236.0,320.0,18.0,36.0,44.0,3.0,5.84,7.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFANIF02,3.3489,33.3792,59.5848,74.664,676.0,1092.0,1976.0,2496.0,12.0,16.0,108.0,216.0,312.0,1.5625,5.625,11.45,15.4,390.6699,940.5752,1800.1624,2468.9032,2128.0,5672.0,10454.0,13720.0,63.0,144.0,270.0,364.0,414.0,1140.0,2022.0,2772.0,26.1623,72.7608,130.9694,177.69,-7.26,-10.6,-11.52,114.0,236.0,320.0,18.0,36.0,44.0,3.0,5.84,7.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
AFOYOM,3.3489,33.3792,51.3315,73.566,676.0,1092.0,1716.0,2938.0,11.0,17.0,102.0,204.0,174.0,1.5625,5.625,10.5875,12.8375,288.9735,660.3474,1283.421,1919.154,4020.0,5220.0,8614.0,12446.0,47.0,104.0,194.0,300.0,298.0,840.0,1524.0,2016.0,21.9509,55.5712,97.9354,141.8908,-7.26,-7.92,-9.09,114.0,220.0,329.0,19.0,32.0,73.0,3.0,5.28,10.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFOYUS,3.3489,33.3792,51.3315,73.566,676.0,1092.0,1716.0,2938.0,11.0,17.0,102.0,204.0,174.0,1.5625,5.625,10.5875,12.8375,288.9735,660.3474,1283.421,1919.154,4020.0,5220.0,8614.0,12446.0,47.0,104.0,194.0,300.0,298.0,840.0,1524.0,2016.0,21.9509,55.5712,97.9354,141.8908,-7.26,-7.92,-9.09,114.0,220.0,329.0,19.0,32.0,73.0,3.0,5.28,10.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFOYUS02,3.3489,33.3792,51.3315,73.566,676.0,1092.0,1716.0,2938.0,11.0,17.0,102.0,204.0,174.0,1.5625,5.625,10.5875,12.8375,288.9735,660.3474,1283.421,1919.154,4020.0,5220.0,8614.0,12446.0,47.0,104.0,194.0,300.0,298.0,840.0,1524.0,2016.0,21.9509,55.5712,97.9354,141.8908,-7.26,-7.92,-9.09,114.0,220.0,329.0,19.0,32.0,73.0,3.0,5.28,10.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFUJOD01,3.3489,33.3792,51.3315,73.566,676.0,1092.0,1716.0,2938.0,11.0,17.0,102.0,204.0,174.0,1.5625,5.625,10.5875,12.8375,288.9735,660.3474,1283.421,1919.154,4020.0,5220.0,8614.0,12446.0,47.0,104.0,194.0,300.0,298.0,840.0,1524.0,2016.0,21.9509,55.5712,97.9354,141.8908,-7.26,-7.92,-9.09,114.0,220.0,329.0,19.0,32.0,73.0,3.0,5.28,10.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AJAXEP,3.3489,33.3792,46.665,72.2118,676.0,1092.0,1560.0,2496.0,10.0,16.0,96.0,168.0,216.0,1.5625,5.625,9.625,14.025,590.3139,1295.8584,2239.8096,2986.4404,5270.0,9504.0,16214.0,20768.0,95.0,204.0,350.0,472.0,554.0,1432.0,2160.0,2728.0,46.8741,111.8736,180.4214,233.9056,-7.26,-7.2,-10.18,114.0,200.0,320.0,20.0,32.0,60.0,3.0,4.8,8.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
AKEMUY,3.3489,33.3792,46.665,70.821,676.0,1092.0,1560.0,3172.0,10.0,16.0,96.0,180.0,216.0,1.5625,5.625,9.625,13.375,318.0135,699.1584,1325.16,1872.96,4026.0,5136.0,8050.0,12224.0,53.0,112.0,206.0,296.0,318.0,852.0,1396.0,1872.0,22.7723,56.6492,94.9154,134.2532,-7.26,-7.2,-9.42,114.0,200.0,294.0,20.0,30.0,60.0,3.0,4.8,9.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AKENAF,3.3489,33.3792,46.665,70.9308,676.0,1092.0,1560.0,2236.0,10.0,16.0,96.0,180.0,216.0,1.5625,5.625,9.625,13.025,318.3213,699.4644,1325.5248,1873.1796,2226.0,4704.0,7546.0,10352.0,53.0,112.0,206.0,296.0,318.0,852.0,1396.0,1872.0,22.1619,56.218,94.4954,133.5532,-7.26,-7.2,-9.48,114.0,200.0,330.0,20.0,30.0,60.0,3.0,4.8,9.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AKENAF01,3.3489,33.3792,46.665,70.9308,676.0,1092.0,1560.0,2236.0,10.0,16.0,96.0,180.0,216.0,1.5625,5.625,9.625,13.025,318.3213,699.4644,1325.5248,1873.1796,2226.0,4704.0,7546.0,10352.0,53.0,112.0,206.0,296.0,318.0,852.0,1396.0,1872.0,22.1619,56.218,94.4954,133.5532,-7.26,-7.2,-9.48,114.0,200.0,330.0,20.0,30.0,60.0,3.0,4.8,9.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
APAFEH,3.3489,33.3792,66.1545,64.233,676.0,1092.0,1560.0,1170.0,15.0,15.0,126.0,216.0,162.0,1.5625,5.625,11.4375,9.9375,292.0035,683.5854,1339.404,2117.538,1642.0,4320.0,7212.0,8010.0,49.0,108.0,210.0,336.0,318.0,912.0,1626.0,2136.0,18.8953,53.0184,96.8382,133.9428,-7.26,-8.7,-7.65,114.0,330.0,345.0,15.0,54.0,63.0,3.0,9.6,10.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
APAFEM01,3.3489,33.3792,66.1545,64.233,676.0,1092.0,1560.0,1170.0,15.0,15.0,126.0,216.0,162.0,1.5625,5.625,11.4375,9.9375,292.0035,683.5854,1339.404,2117.538,1642.0,4320.0,7212.0,8010.0,49.0,108.0,210.0,336.0,318.0,912.0,1626.0,2136.0,18.8953,53.0184,96.8382,133.9428,-7.26,-8.7,-7.65,114.0,330.0,345.0,15.0,54.0,63.0,3.0,9.6,10.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
APAFEM05,3.3489,33.3792,66.1545,64.233,676.0,1092.0,1560.0,1170.0,15.0,15.0,126.0,216.0,162.0,1.5625,5.625,11.4375,9.9375,292.0035,683.5854,1339.404,2117.538,1642.0,4320.0,7212.0,8010.0,49.0,108.0,210.0,336.0,318.0,912.0,1626.0,2136.0,18.8953,53.0184,96.8382,133.9428,-7.26,-8.7,-7.65,114.0,330.0,345.0,15.0,54.0,63.0,3.0,9.6,10.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
ATAVAU,3.3489,33.3792,46.665,62.8788,676.0,1092.0,1560.0,2184.0,10.0,14.0,96.0,168.0,180.0,1.5625,5.625,9.625,12.1,453.2805,1069.6504,1919.8272,2575.0256,3506.0,7396.0,11898.0,14880.0,71.0,164.0,286.0,392.0,450.0,1224.0,2084.0,2608.0,35.4315,90.7768,153.4578,197.5124,-7.26,-7.2,-8.74,114.0,200.0,280.0,20.0,32.0,54.0,3.0,4.8,7.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ATAVEY,3.3489,33.3792,46.665,62.8788,676.0,1092.0,1560.0,2184.0,10.0,14.0,96.0,168.0,180.0,1.5625,5.625,9.625,12.1,453.2805,1069.6504,1919.8692,2572.6332,3506.0,7396.0,12098.0,15220.0,71.0,164.0,286.0,392.0,450.0,1224.0,2076.0,2588.0,35.4315,90.7768,153.8578,198.0204,-7.26,-7.2,-8.74,114.0,200.0,280.0,20.0,32.0,54.0,3.0,4.8,7.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ATAVEY01,3.3489,33.3792,46.665,62.8788,676.0,1092.0,1560.0,2184.0,10.0,14.0,96.0,168.0,180.0,1.5625,5.625,9.625,12.1,453.2805,1069.6504,1919.8692,2572.6332,3506.0,7396.0,12098.0,15220.0,71.0,164.0,286.0,392.0,450.0,1224.0,2076.0,2588.0,35.4315,90.7768,153.8578,198.0204,-7.26,-7.2,-8.74,114.0,200.0,280.0,20.0,32.0,54.0,3.0,4.8,7.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AWUKEK01,3.3489,33.3792,55.998,99.8448,676.0,1092.0,1872.0,3328.0,12.0,20.0,108.0,240.0,408.0,1.5625,5.625,11.55,19.05,485.1279,1131.6384,2287.3208,3219.9864,2344.0,6144.0,11462.0,16664.0,79.0,176.0,350.0,492.0,526.0,1460.0,2622.0,3660.0,30.0583,84.2152,156.0734,225.1012,-7.26,-8.64,-17.96,114.0,240.0,392.0,18.0,32.0,52.0,3.0,5.76,9.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BAXXAB01,3.3489,33.3792,54.717,68.3688,676.0,1092.0,1612.0,1716.0,12.0,16.0,108.0,204.0,144.0,1.5625,5.625,10.55,11.025,263.2713,597.4414,1193.3548,1842.1016,2076.0,4420.0,7306.0,9032.0,43.0,94.0,182.0,292.0,276.0,792.0,1426.0,1804.0,18.9689,49.2122,88.2746,125.952,-7.26,-7.94,-8.08,114.0,250.0,350.0,18.0,38.0,72.0,3.0,6.56,11.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BAYZEH,3.3489,33.3792,46.665,72.2118,676.0,1092.0,1560.0,2496.0,10.0,16.0,96.0,168.0,216.0,1.5625,5.625,9.625,14.025,390.6119,889.8984,1567.9904,2160.0356,3606.0,6912.0,11334.0,14068.0,63.0,140.0,238.0,336.0,378.0,1008.0,1656.0,2196.0,31.7049,78.3632,128.8198,170.3348,-7.26,-7.2,-10.18,114.0,200.0,320.0,20.0,32.0,60.0,3.0,4.8,8.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
BAYZEH01,3.3489,33.3792,46.665,72.2118,676.0,1092.0,1560.0,2496.0,10.0,16.0,96.0,168.0,216.0,1.5625,5.625,9.625,14.025,390.6119,889.8984,1567.9904,2160.0356,3606.0,6912.0,11334.0,14068.0,63.0,140.0,238.0,336.0,378.0,1008.0,1656.0,2196.0,31.7049,78.3632,128.8198,170.3348,-7.26,-7.2,-10.18,114.0,200.0,320.0,20.0,32.0,60.0,3.0,4.8,8.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
BOCYOK,3.3489,33.3792,46.665,75.7986,676.0,1092.0,1560.0,2600.0,10.0,16.0,96.0,168.0,216.0,1.5625,5.625,9.625,13.925,359.5949,797.6904,1501.6536,1975.8788,2546.0,5424.0,8854.0,12672.0,55.0,120.0,218.0,292.0,338.0,900.0,1504.0,2000.0,24.9301,62.9324,106.9502,148.6208,-7.26,-7.2,-12.14,114.0,200.0,316.0,20.0,32.0,60.0,3.0,4.8,8.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOCYOK02,3.3489,33.3792,46.665,75.7986,676.0,1092.0,1560.0,2600.0,10.0,16.0,96.0,168.0,216.0,1.5625,5.625,9.625,13.925,359.5949,797.6904,1501.6536,1975.8788,2546.0,5424.0,8854.0,12672.0,55.0,120.0,218.0,292.0,338.0,900.0,1504.0,2000.0,24.9301,62.9324,106.9502,148.6208,-7.26,-7.2,-12.14,114.0,200.0,316.0,20.0,32.0,60.0,3.0,4.8,8.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOCZEB,3.3489,33.3792,46.665,75.6888,676.0,1092.0,1560.0,3536.0,10.0,16.0,96.0,168.0,216.0,1.5625,5.625,9.625,14.275,359.2871,797.3844,1501.2888,1975.6592,4346.0,5856.0,9358.0,14544.0,55.0,120.0,218.0,292.0,338.0,900.0,1504.0,2000.0,25.5405,63.3636,107.3702,149.3208,-7.26,-7.2,-12.08,114.0,200.0,280.0,20.0,32.0,60.0,3.0,4.8,8.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOCZEB03,3.3489,33.3792,46.665,75.6888,676.0,1092.0,1560.0,3536.0,10.0,16.0,96.0,168.0,216.0,1.5625,5.625,9.625,14.275,359.2871,797.3844,1501.2888,1975.6592,4346.0,5856.0,9358.0,14544.0,55.0,120.0,218.0,292.0,338.0,900.0,1504.0,2000.0,25.5405,63.3636,107.3702,149.3208,-7.26,-7.2,-12.08,114.0,200.0,280.0,20.0,32.0,60.0,3.0,4.8,8.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BUNSIN,3.3489,33.3792,73.383,116.571,676.0,1092.0,2236.0,1508.0,16.0,28.0,132.0,324.0,252.0,1.5625,5.625,14.4,15.95,366.4135,877.6864,1858.73,3086.79,1796.0,4924.0,9610.0,11584.0,63.0,140.0,294.0,504.0,434.0,1296.0,2514.0,3696.0,22.6359,65.7364,129.5774,201.1912,-7.26,-10.82,-12.46,114.0,330.0,670.0,14.0,42.0,126.0,3.0,8.48,22.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
